movie_id,movie_name,release,box_office,avg_price,avg_people,movie_score,movie_category,country,movie_link
1417305,我和我的父辈,2021-09-30,147673,43.46871,16,9.5,剧情,中国大陆,https://piaofang.maoyan.com/movie/1417305
343034,速度与激情9,2021-05-21,139226,39.293274,13,7.9,"动作,犯罪,冒险",美国,https://piaofang.maoyan.com/movie/343034
1218188,怒火·重案,2021-07-30,132935,38.70422,8,9.3,动作,"中国大陆,中国香港",https://piaofang.maoyan.com/movie/1218188
1337700,中国医生,2021-07-09,132831,36.34771,11,9.3,剧情,中国大陆,https://piaofang.maoyan.com/movie/1337700
343568,哥斯拉大战金刚,2021-03-26,123262,37.443863,9,8.9,"动作,冒险,科幻",美国,https://piaofang.maoyan.com/movie/343568
1334342,送你一朵小红花,2020-12-31,119607,37.143356,10,9.2,"剧情,家庭",中国大陆,https://piaofang.maoyan.com/movie/1334342
1298367,悬崖之上,2021-04-30,119022,38.584908,12,9.1,"剧情,悬疑,动作",中国大陆,https://piaofang.maoyan.com/movie/1298367
1048268,刺杀小说家,2021-02-12,103520,47.265743,16,8.6,"奇幻,动作,冒险",中国大陆,https://piaofang.maoyan.com/movie/1048268
1413641,扬名立万,2021-11-11,91943,38.034184,7,9.1,"悬疑,喜剧,剧情",中国大陆,https://piaofang.maoyan.com/movie/1413641
1222234,我的姐姐,2021-04-02,86025,36.802353,9,8.8,"剧情,家庭",中国大陆,https://piaofang.maoyan.com/movie/1222234
1331661,误杀2,2021-12-17,83893,39.54696,10,9.0,"剧情,犯罪,家庭",中国大陆,https://piaofang.maoyan.com/movie/1331661
1320283,你的婚礼,2021-04-30,78923,37.587296,15,8.0,爱情,中国大陆,https://piaofang.maoyan.com/movie/1320283
1300936,人潮汹涌,2021-02-12,76237,41.317425,10,9.0,"剧情,喜剧,爱情",中国大陆,https://piaofang.maoyan.com/movie/1300936
1218142,拆弹专家2,2020-12-24,71255,39.05444,8,9.2,"动作,犯罪","中国大陆,中国香港",https://piaofang.maoyan.com/movie/1218142
1300668,温暖的抱抱,2020-12-31,66935,37.11224,9,8.5,喜剧,中国大陆,https://piaofang.maoyan.com/movie/1300668
1202638,失控玩家,2021-08-27,61258,38.8606,7,8.9,"动作,冒险","美国,加拿大",https://piaofang.maoyan.com/movie/1202638
1298542,白蛇2：青蛇劫起,2021-07-23,58025,39.026203,7,9.0,"冒险,奇幻,动画",中国大陆,https://piaofang.maoyan.com/movie/1298542
1298938,熊出没·狂野大陆,2021-02-12,55856,43.912533,19,8.9,"喜剧,科幻,动画",中国大陆,https://piaofang.maoyan.com/movie/1298938
1336183,1921,2021-07-01,50398,34.87743,8,9.4,"剧情,历史",中国大陆,https://piaofang.maoyan.com/movie/1336183
1299124,新神榜：哪吒重生,2021-02-12,45636,43.811897,14,8.8,"动作,奇幻,动画",中国大陆,https://piaofang.maoyan.com/movie/1299124
1356063,峰爆,2021-09-17,43771,37.92958,8,9.4,"剧情,灾难,动作",中国大陆,https://piaofang.maoyan.com/movie/1356063
1212303,古董局中局,2021-12-03,42915,38.08887,6,8.9,"剧情,悬疑,冒险",中国大陆,https://piaofang.maoyan.com/movie/1212303
338384,007：无暇赴死,2021-10-29,41454,40.356693,7,8.6,"动作,冒险","美国,英国",https://piaofang.maoyan.com/movie/338384
1346626,扫黑·决战,2021-05-01,40548,33.7001,9,8.8,"犯罪,剧情,动作",中国大陆,https://piaofang.maoyan.com/movie/1346626
